sentiment,content
other,want dress
worry,go sleep sleepy
sadness,car break
other,really want go surfers today
other,rbmartin oh take sign error page
sadness,h2_themovie get write halloween interview w danielle harris darn late contest
other,really bad sorehead
other,cheek bakery close crazy williamsburg support infinite boutiques wbad clothe one decent place four scone
other,janelliebeans even remember
sadness,crisis forget fringe comb men one help
worry,thisstarchild night damn give ff sorry late one tomorrow always forget someone night xxx
worry,ok post rny girl learn rich sugary food bad idea golden graham bar vend machine bleck
worry,chriscornell everyone
worry,dentist hop first check let us handle dentist
worry,super bum whitecaps game plan friends fell need home seven let sitter go
neutral,eom still work
happiness,marcihearts send get first check make enough lol work like eight hours far
worry,dedicate next two hours clean house
worry,go doctor physical include blood work _ eye doctor new glass
sadness,danger_skies get sing fall love change week day saturday quite fit
love,bust_magazine dream reality cs4 wishlist
love,toddmeg14 one day hug come finger still cross
love,pot geraniums talk grandkids well maddie jack outside play sure miss
worry,frustrate life whole new level try trust god
other,hot sleep window open mean noise make early
worry,jwphillips iphone poor credit live without cell phone mass transit every day
sadness,fuck concentrate damn heat cooler job
sadness,aquafreak123 depress think
other,get get use pocketwit damn twikini
sadness,smiley92 lot bad thing r go finals next week
neutral,awesomeann7 well around two twit
worry,super bore friday night
sadness,almost make read comedy outlet headline weekend take two extra hours traffic basically double time
sadness,tonyarae rachierach3 get dizzy go lower original raise please think less
sadness,valerierenee bad day
neutral,kerryisonfire finish
love,billfanning bill likewise pleasure next time spend time talk ims09
worry,xirclebox problem get do weekend one way another
other,dojie try say cold steal heart lol
worry,sooo stress everything
worry,john_370 think next week think another week ohmygod please tell another week
worry,try find foreign place foreign town lose
other,http twitpiccom67mj4 yes nice oh kevin shirtless see well
other,gloomy fuck outside ewwwww
love,liber8dsoul knoww da best
neutral,markbilly unlucky day without hope see wednesday though right x
worry,xoshayzers sorry
worry,sad today last day san diego
neutral,knightgirllinz baaad linz rather sheesh text finger broked
love,laineymc priests really good guess would welcome late late moment
sadness,head hurt
sadness,yesterday miss live chat internet problem i12i12
worry,wait around boyfriend queen look like go pour dt bklyn umbrellaless
neutral,still work music grade outside deck sun behind big gray cloud
worry,rooks_ nooo roo cry omg want slap sing fine nowhere boohooooooooooo
sadness,wish go tonight wait tomorrow
love,get new ducati puma high top yea sweet yes ducati
worry,chris_daughtry fyi canada see vh1 preview video
sadness,always feel sickly wake well get busy day ahead yippeee
sadness,look forward next week maths geography english french exams total seven hours
other,_constantstatic like baby better although like showsbooks crime
other,emboosh aw suck
other,simonferrari meblair think starbucks license store bc take away experience want provide
neutral,rip 60gb playstation three miss november two thousand and six may twenty-nine two thousand and nine
neutral,iphone fell
neutral,spacehotel weird see myspace page without delete page though
other,apple also rotten center luck
neutral,officialdjaok natboogi tinocochino jtonair soooooooo happen power forreal
worry,owww back pain hm walmart could get cupcakes
worry,hope rain tonight tomorrow fam come visit swim pool carne asada rain pool go dirty
neutral,watch southpark another twenty minutes
worry,balmain knockoffs bebe make sad want real deal shoe look cheapy cheapy
worry,think cold get worse better stop cough really suck
neutral,anybody want throw baseball around
sadness,damn rain
sadness,hate paint nail suck thumb taste bad
neutral,twitter sooo quiet today
love,bosstycoonlz yea old pic look lot different turn beautiful women miss lot
neutral,chrisreinhard screenshots give kind preview would need vpn access ya want
other,"nhl fan either team head say detroit feet say pen heart care go kings twenty million, ninety-two thousand and ten"
sadness,anothrstupidkid lucky bed ice cream sore couch cardboard
other,kingivn fun amorsote even tho forget bday
other,would reverse overdraft fee
sadness,karma bitch get hang lol still big dawg though
love,boy leave summer go stay grandparents go miss
worry,know use twitter
other,much run outside like think go look like treadmill today thank lot rain
neutral,iamalejandra maybe fifteen pair shoe many super huge feet
other,rockinaround nope think crime
other,bus stop always big pile loogies gross
worry,mayday
neutral,work one thousand and thirty lammmeeee
worry,work
worry,sittin hospital isaac hit head
worry,feel lonely need good friend
neutral,matthalveland
sadness,ten allergic hot wax
sadness,awake wish feel like head may explode go try go back sleep
worry,need car back
sadness,awe go meijer walmart walmarts better
neutral,judyobscure oh
neutral,omg learn little girl play ducky first land time movie murder age ten wtf
sadness,tire
worry,legs kill know good pain
love,sit baby libby fever one thousand and ten fussy
worry,back town mac crash better
worry,figure empire puzzle stick thirty-six
sadness,miss_r get one either dog pretty sure bunny would survive struggle tom
worry,dear coworker great want smell deordant bath cologne
sadness,want watch badly
neutral,hat sit around alone friday night big sad old loser
sadness,finally get money bad go bill
neutral,head home sacramento continue write windows server two thousand and eight r2 unleash book weekend sigh windows
sadness,empirebetty well tell marry like maybe stick situations like
sadness,tom_pollard never ban court order
happiness,vernaewilliams lancedrummonds two hilaaaaarious love vernae
worry,vestaeresta geez cool man like villains bad
worry,take kindof nap tummy hurt
worry,charrrbabyy know eff embarrass eff live
sadness,cosmicgirlie car happy big big dent boot hop go write cross finger wait
neutral,look vibrate phone like try find feel
neutral,aww love go play shuffle
worry,ugh bore day
worry,want b marie antoinette cos perfect hairdo fab clothe n tons macarons crappy day
worry,inconclusive still chance need surgery see doctor three weeks xrays
other,marykeegin since three eight hours tomorrow
sadness,jus chillin doin hrs friday afternoons tend end busy
worry,find
neutral,shaialston aw take care babe aim get dm addy
other,retrorewind omg almost forty comment bday joe turn forty omg lol
happiness,pettles know believe say bleedin song donnie rap tut
love,kstricklen could would send california sunshine way
worry,find tink cover wii remote people know wii fail
sadness,kingivn fun amorsote even tho forget bday today
worry,meg_la_mania worry read nasty stories murder paedophilia disfigurement get upset animal cruelty
other,back mo cover girls hubby fb chat see five months
other,brother leave day
other,shenangagain nooo way dude four mean net country
sadness,seattlewillow well work leah might something embry
other,understandblue dang plant thorny bush ouch kitty hug today
worry,hamoke lecture bookworm beasts noble normal
worry,officialbb able see clipsepisodes c4 website america languish read news stories
other,http twitpiccom67nxe yeah bore xd pic photo still guitar today mum steam miss nameless
worry,cthun regent_lord get along
other,enthropologie rain lightly mist though
worry,headache
neutral,work hop city get miss baseball
sadness,food house sugar ants
other,tinydeww find morning
worry,angelivxxx try dm follow
neutral,tinareece planet fitness van wyck keep hear homies tell bout plus close hood know lazzzy ass
worry,myrewyn oh poor thing keep us post
other,artfirejohn yeah shy everything still nothing http blackird72etsycom check sale bite yet
worry,juicytots yay move sorry dh grr xx
love,smiley92 thank review today feel like idk anything anyways r
happiness,perfect show enjoy
other,millyreyes follow lonelyyyy
other,dirtycucumber
sadness,bore without camera
happiness,seniors do five days woohoo go night
worry,get back grocery store starve find anything eat
other,sit friday night bore
other,osandisays dude come amel larrieux tonight errybody fakin
happiness,show amaze cold hope give victoria card get dvds back ha
neutral,shakalohana week two flat wavez surfin
sadness,http twitpiccom67ofz ugh gross
worry,hoperana nigel really enjoy get big scratch side inexplicably appear afterwards
neutral,daverexwood congrats ugh still til end june
other,work yesss super hungry
worry,computer remain dead
sadness,angiebeyince damn dublin
worry,world make sad
worry,lookbook crave everyone clothe want pencil skirt baddd someone send one
sadness,every saturday till eighty-four work suck friday monday july 4th either
other,still smell smoke kitchenfire
neutral,bobatnhtpc yo guy want make road trip look waraw wait long taipei
sadness,fourteen hours take two aerobics class thirty min break
neutral,tanya_jolene try ninety four next three days yuk lol n e thing poppin sn
other,sunburn fun remember
sadness,think perfect weather go camp cuddle dave star sleep
other,watch missy elliot video collection sad tell look like high school
neutral,"three hundred update actually thirteen thousand, five hundred and twenty-seven lol"
neutral,themakeupsnob
sadness,club weekend due bust knee emo life unfair emo
love,aahhg one orange slice leave eat later quite pickle sxyhrlygrl
other,unemployment line come
other,imwendy suck
other,date script really bad midway thru pitch catch get butthurt storm loss
other,harley quinn cstm hehehehe go prom buaa
worry,really want ring mitchelmusso cost two much dam credit crunch
worry,argyle_sockso_o sorry shannon
worry,sarawkweird think pretty awesome could quote lotr rotk one summer anymore
sadness,andyschwartz nah actually sleep data recovery place call wake
worry,get cold
sadness,arm hurt
worry,feel quite quite sure though go bed night everyone x
other,danabaker thank hon migraine go away come back
sadness,vukizzle sadly corporate giant employer let get site
neutral,aight see spring awaken home make home time see jay last show
neutral,teemonster see none extra money
sadness,go gymnastics last day class
other,need sleep whole day recover birthday get old
other,home feel like long skate seshion get arrands
sadness,internet weekend
sadness,saw dead bird way work kind day start poor little bird
worry,jesse236
love,lovely walk dog dark nice walk though hehe x
sadness,good remember twitter thing sorry everybody leave tibet today head cold
other,ugh hate ninety degree weather
worry,joyzaphine ouch sunburn bad hope sore bed always problem
happiness,saraxmazing ah nfg super amaze jordan pretty legit stay longer two meet everyone cuz hv three hour drive home
worry,phunybuny iamtheplague wow hope get better cancer gtfo
worry,sorry dunners saw tweet totally let sorry babe work till eight hundred and thirty boooooo
sadness,melissaar know agree anger sorry go postal
neutral,djjamminjoe cold
worry,ever since orchid quit drink bottle eat us house home holy crap girl still drink milk though
neutral,jessdubb would put work
love,nbkorey spoofcards cost money need make five free minutes last thank buddy
worry,domezydrate agree miss lot away busy like whole new place
sadness,boomkatt want bittersweet lol
neutral,hop rain sooo warm
other,rat army wive teary criminal mind yikes criminal intent take sort real life news horrify ok bed nite
sadness,lrntoswim thx followfriday afraid remiss blips lately
neutral,thank goodness starbucks ice coffee feel sluggish today think awful la weather
sadness,observation aside riverwalk pretty much cute girls downtown sa
sadness,lose one best friends ii12m sooo sad
sadness,sorry hard find imeem free stuff rb deesound like david starfire like http blipfm7a9fu
love,besties ddlovato twitpic http bitlybrg6w via mileycyrus
neutral,anyone bore work
neutral,go work
other,natalidelconte get chat oh well time eat praline
other,think albany could worse ao leave
sadness,poor greg stupid uk always sympathy vote xo
neutral,caga el spam en twitter
worry,need learn line show else director go kick butt
other,ears nose throat doc want surgery inside face diviated septum sound like sexy thing
worry,impala_guy neither iti12s get better
worry,husband go fish come knit keep home need lady hobby let us get cook
other,oh noes average joes lexington close sad
neutral,friday rain
other,krisswouldhowse want go
other,hate wait line
other,selenagomez hope fun canada worry see summer
worry,baby first bust lip
worry,ritzybee yes put damper us get know georgetown instead watch tv catch invoice
neutral,dear macpro try awake http twitpiccom67orb
worry,smash pinky julia car door fuck life
neutral,applecored anyhoo thank spank x
other,want like horatio caine
neutral,ewww exams next week think ahhhhhhhhhhhhhh
sadness,justkaty guess miss beer good time
worry,look forward next wednesday
worry,tferthomas watch would forgottenmost enjoy reseeing pay today face bounce back anymore
sadness,tire go take nap finger hurt one hundred and forty-three
other,okie go tweet loose guy girls
other,hate remind weak eye overdo read today sore fuck go rest sigh
neutral,still home goodness
worry,daddy leave without http yfrogcom13pdrmj
sadness,grandparents cat may die love cat swear go
sadness,ex make cry wish stronger
happiness,katie_noonan think ill well want go go one go loveyou xx
love,zanelowe love wear hood even though portsmouth usually get terrify look pensioners
love,http twitpiccom67ot5 amaze decoration store ever see almost two years
worry,actually like almost everything job right except part permanent
sadness,feliciaodg screen dark click hang whoever talk
other,http twitpiccom67otn awwwww want
sadness,thebigmac cool boob itch get sunburn volcano
sadness,rubios_beachmex dm since follow
other,vestybaby go chicago days twitterless
neutral,millsthemusical lauzzaa hope listen songs funny l still hear tick x
worry,bore bore bore wish something tomorrow especially weather fair
sadness,themikekelly sorry mike assume music miss know mystery
neutral,early wish could sleep today
sadness,miss talkin turkey really miss talkin turkey
worry,traffic along mcarthur okay keep eye road hand phone err steer wheel
other,acmcwhale always feel guilty
other,tonight warm major night west end 2moro gorgeous dress killer heel fraught problems big crowd go
neutral,exotic use bathroom
happiness,quirke wish still around litter azalea catch dd back yard six bunnies lap
other,aww chamber callbacks soo emotional
other,facebook load damn bore
other,browse web expect see pms forum back luck
worry,feel bad everything stupid harsh fault know sorry savvy love guy three
worry,upset
sadness,seem really quiet tonight jealous clearly excite life bed think
worry,tummy ache
worry,yeah friday think sis come town turn sad miss baby
other,corruptjelly icant live live lmao oh btw oooowwwch foot hurry plaster go bleed death
sadness,joshjnap honestly incredibly upset could make devestated even would lose whole travel day suck
worry,suck two go id b piss two
other,katiff feel better sorry feel
sadness,topic miss motorcades secret service trick us bush clinton
other,oh bore buut almost two days til leave france
worry,stick awful traffic way wed ceremony suppose start ughhh
worry,get report card back eighty-eight average go eighty-two kick notch
neutral,cole_nesmith
worry,jaykpurdy awww poor jayk try make drive funand eat something soon great show tonight wish could go live far
worry,think max cat may really go
sadness,go sleep
worry,kidcalloway sowwy two get six hundred and thirty morning
other,ground get toy officially run room place
sadness,the_sandman_ grave_wounds hursty02 samvoaden miss guy much xx
worry,ahhhhhh feel ill think drink l lmaoo
other,pro bbqing like everyone love food apart tesco man say rush mabye want poison idk
worry,learn nonpayment client new business headache hop avoid
sadness,rawr_333 yeah could call dad mom brother either mom phone dad phone card expire brother work
worry,phone die really need go home recap capstreetteam last night aiyaiyah hate run errands
worry,brandystrippers oi mock fact cry tv things feel bad xxx
other,mom would sigh wonderful slip would think come surgery might go away
worry,soo fuck stress think could possibly lose
happiness,clio_jlh lol special kind magic though see special discovery think nessie die
worry,av ad realy gd day wiv ciara connolly park gate west kirby new brighton fukin funny bt sunburnt luks like drivers arm
worry,j alexanders sorry nintendo collar shirt chance stay home tonight
neutral,dang need go cousins upload videos need later
neutral,daynanotdana close three locations
other,thirdgradehater traffic ridiculous may make
neutral,yeah p
sadness,bogwhoppit aw yes weeks get ask return end wish buy never mind
worry,jonathanrknight oh poor thing sorry babe
love,keithahundred yeah kno tryna change bac lettin meeee
love,davidarchie hey next uk
happiness,go watch tv crazy night 7am work tomorrow live somehow least mean finish early
worry,alex_lpz yeah text wnat go car break
sadness,go life good exit hallway stick world
worry,jennvy hey sorry late leave thirty min raincheck tomorrow
worry,damn anytime need car dammit
sadness,one random phone call ever god kill
worry,siansburys lose count number ring today already go wales due court monday
other,angelaisshay oh try parmesean primavera last night make culinary abomination pretty sad
worry,like thunder neither doggy
other,bummer phone get disconnect weekend birthday darn three
other,lilyroseallen true part neighbour bring watch show want
worry,ugh hate life one hire sigh stupid economy stupid bush
worry,cat anorexic
worry,vintnerscellar shelby twp
neutral,listen revenge kiss get inspiration think kristie really dig though
worry,jamiebower come chile band everything happen far away lol lose good live music
neutral,new episodes hitman reborn yet
worry,bpvorsight thx suggestion think easy convince cold call aweful tho
worry,trip soooo fun sick
worry,holy cheese send things motherland muy caro
sadness,lulion07 pray sorry hear bro man
worry,love much make smile time special get scar try
happiness,danny30011980 gavinmusic great pic upload pix tomo laptop tonight
love,ddlovato http twitpiccom5h3ad brazil love
happiness,sunburn face legs fix arm tooo
neutral,mitchelmusso friend send call bck message dunno could reply credit thts
sadness,bang elbow bleed owwiee
neutral,akara hours ago come realise go buy something online
sadness,mitchelmusso allow call live uk parent say cost much suck
other,toin9898 wow really suck
sadness,wish jonathon ross audience right
other,msstella damn could call tell person humiliate front whole twitterverse
other,matter marry long happy find wrong say ok two marry
sadness,watch bgt catch aw felt sorry holly
neutral,cocabeenslinky exactly
worry,martinhavlat aww sound sad
sadness,niqa86 miss mojokins go long enough comment weekend
worry,fieldwork databook sleep awkwardly bone sore
worry,throat reallyyyyy sore barely talk
worry,clareies twenty-five december good next big birthday thirty twenty-one fly sure
other,think skippin ny morning plan tonight well anyway
worry,best friend fuck world move ahhhhhhhhhhh wat two happy camper
neutral,jayhostdc go last year get go friend party tonight though never win
other,love much make smile time special get scar try
love,jennyowenyoungs believe come near place get love jenny
worry,please let get obsess whatever whoever charge action bad job lately
other,native french hate try find animals french suck someone help pleeeeease alone allison iraheta
other,huge spider crawl past huge
sadness,shit night want john
neutral,crysohara think go lonnngg weekend three day kind
sadness,jenny gorgeous pffff love style want outfit
other,rozrad park meter streetlight
worry,patbrough place fly since move north really pretty area fly expensive
neutral,call radio disney nowi make idiot cut accident ring ring
neutral,mtv mtschopp go fmlllll
other,ridiculously warm bed
worry,get catch pour
neutral,head work
worry,get cap gown today senior year come end soo fayst
worry,adidasgoddess19 haha amen sooo damn hungry hate know weekend go shit suppose great
worry,dreamingmyth
sadness,tire need another thirty minutes
other,yesitsfiasco cool ok yeah see old file separate vocals try punch one track
neutral,infelizzzzmente alcool nesse fds
sadness,jdrydenuk yeah available public market yet soon look forward sunburnt arm itch boo hoo
sadness,hang rex miss alabama nanna already
neutral,wait car wash see say amara
other,f weather
other,nothing good five dollar sale
other,snuffdigital awww well case like perfect funny friend hehe
other,citibank think go go grannys house
sadness,mitchelmusso sad get money phone ahh well lly mitchel xx
other,today officialy fuck suck mom biggest bitch ever text
worry,checkin oramarecordscom get fever cnt sleep
sadness,watch la rosa de guadalupe damm episode true people make fun people virgins
other,oh borin play computer mom say makin task
other,also finally home friends anyone kind nice sit quiet room wish gf tho
other,fuck everything
love,zachyhxc54 haha scar shit
happiness,jonasobsessedx _ thanxxx message want leave bye
worry,ragavin anything brian
worry,tattedhairguy sorry hear uncle hope okay
worry,freakin frustrate coach realize time hard nobody get money buy cookie dough new uniform
other,children hospital er hop meredith break elbowarm
neutral,wish could famous act dance
neutral,nikkicsws awwh kind hop jack would get banana highlight back
sadness,everyone work tonight bore
neutral,fight horrid headache large vanilla ice coffee
happiness,may unintentionally snub someone due ineptnessshyness feel badly
neutral,sleep entirely long nap long enough time
worry,vanriper new gphone guess sign go google io
neutral,krushtc avoid
other,kvagur haha soooo party tonight
worry,sad tanner invite panthers development camp year poor glassers calla good
other,dear board theater loud head stomp stomp ugh
neutral,last weekend dallas awhile
worry,marshallsheldon probably good idea hard tweet web miss tweetdeck cry
sadness,retrorewind awwww cry make cry love joey
other,awwww ovber
neutral,miss bri come back queensland bitch one sit next class drama fun without come back boob
other,themrsh saw red audi highway speed uo hop loss
worry,ddlovato quite hard attempt spread cornbread fall apart
sadness,mitchelmusso work uk
other,tezi_soch hah nooo obly one aumfff hate nick datin miley
sadness,watch terminator two cry one movie make cry reason arnie die lame
neutral,mitchelmusso england saynow number call us one
other,bucket list bad film choice even may need therapy
worry,christe1 sad mom must shake peace strength dear family lose little girl
other,bite disappoint killers jonathan ross sexy hell though
other,lmontt go disney cruise kid character strike
happiness,donnyosmond excite book ticket vegas live uk believe price show ticket
love,ghxststories boys r nothing trouble love trouble
sadness,ha would give kristen plenty free hug sigh could
happiness,karolinepaixao epic moment hahahha swear really want see
other,bobbiepen yeah always change hair color high school pretty much wear everything lol good baaaaaaaad
sadness,deanm1987 hey twit watch poor holly britains get talent poor thing people mean ten year old little girl
sadness,listen music feel kind
worry,head ache
other,sarahkmetz wish sluttin w waaaaaaaaahhhh
neutral,tinkfan sound interest wish phone java
worry,adamschwabe http twitpiccom67owu nice ticket tonight game stay home sick
other,boredddddddd work tomorrow sunday hate clarks
sadness,really really hate biology u______________________u
neutral,micheleamadesi hug
sadness,lonejohnny awwww wait hope rain
sadness,damm get pic niamh 3d glass
sadness,wossy juleskaos good show killers rock cut short
other,get surprise sad news friday clue effect global financial crisis http plurkcompx2vyi
sadness,miss use
neutral,kikirowr hope feel better soon
other,befibeez post like five mintues get
worry,get qdoba today sad
sadness,watch killers jr awesome late though cut programme mid song favourite
neutral,maggit visit ny til september diggnation
other,laurenconrad belive one episode go xx
sadness,lathargic definitely need today rest sad bout havin call mentally need
other,yahyan yahyan supremacii iaaaaaaaaaaaaan joke
other,oh man feel sick might contract cold maybe kid slobber thursday
worry,katizzle hehe yeah late hun
sadness,tire walk six hundred and five kilometres today
sadness,deviantlysweet neat hear kiddshow today wish
sadness,mitchelmusso wish could call live uk cash call
love,fantastic open flower drummers asian cast crew
neutral,honet two people follow
neutral,still want dress
other,lakia unfortunately noy life suck year
worry,tropigalia know stink birthdays sorry bra hope fun anyhow spite
worry,book bloggers panel list anywhere program tomorrow 2pm room 1e15 bea09
happiness,rockin minivan til sti ready miss already
love,queen_angel84 awww hope feel better love weather crazy
sadness,omg guy internet whole day still work try fix 2m
worry,ants apartment
love,lilmissopinion notice ridiculous
sadness,phxphoto kid ugh one thing know sure show property weekend
worry,thesmartplanner wish could go blogging bootcamp knoxville come week close yet far
worry,phone power die
other,clouddancefest truly awful
other,come man give slack
other,spicesierra sorry hear
sadness,sadness top horde guild like disband
other,really hate someone call themself friend hear want something friendfail
neutral,lovely plan cancel night another night home alone unyay
neutral,nievesteve know
sadness,man daddy leave work never see lot miss daddy
sadness,hey_thomas drink game tonight work till five tomorrow
worry,heyagainlando inability manage money tough job market get behind bill save bad
worry,still recouperating holiday weekend wow never sunburnt really hurt
worry,impala_guy sorry youi12re mom iti12s great hear dad best forgive sparkle
neutral,mitchelmusso call number uk really want call know xxxxxx
other,natetron yo nate go morgie ok
other,want ice cream expensive
neutral,liquidtoffee plan tonight
neutral,wonder effective street preachers http twitpiccom67qhz
neutral,wylthenemesis nope go able finish tonight get things bed
worry,brianne call convenient near comp
neutral,try get three thousand unread email message look like rest even
other,jonathanrknight feel hope smooth flight safe mucho amor boston
neutral,followfriday nickw84 kevkevv vjartist liverpool10 follow ppl interest vjartist tweet much though
worry,look forward hurricane season three days
other,cla_alfradique fun well hopefully much go
sadness,watch sicko utterly digusted country
sadness,lisa_nova lose sad four us love
other,ashcoates fun far nothing like festival altho cider afternoon one
sadness,jayisfly jess invite feel really unloved aj right hahaha
neutral,sjeske shop get hail damage fix week
neutral,also fix itunes bliptv change url since part rss fee
worry,faffyfoo yeah know happen video
other,hate vserver java say could reserve enough space object heap
sadness,waubonsie lose soo piss
sadness,think good stand
other,mirandabuzz ahhhhh hate math right r something hard learn today lol
sadness,shop sam club baton rouge mom bring stepdad charity hospital go home yet plan
worry,sleep child want wake night
love,mileycyrus http twitpiccom67hac like justin mean somthing miley respect love miley
other,three day weekend think work wait ambush tuesday damn work
love,poor baby girl poorly x
worry,educatedlady lame
sadness,hey guy nm half bore
sadness,bobbiepen lmao man bum stop braid
worry,morgannjayy lol maybe still go monday
neutral,sergio_mg03 idkkkk plan anything work lol
other,skittles3640 prob skittle always go back true sweeties play lol yea get heat sry
sadness,angry sad happy excite hate moods change right immensely sad
other,flossa glass cold water meditate bite three
other,jamieed hope earlier september along time offf
sadness,dwsrosec many eight one get delete send two days ago cry rr
neutral,mitchelmusso worldwide number caause reason phone dial number
other,alyandaj go release another album already miss
other,irratated
neutral,knitch raspberry balsamic
worry,bowwow614 hey bow yu comin baxx two thaa six hundred and fourteen miss yu hun six hundred and fourteen day
love,hear susan boyle sing come beautiful person would ever see feel bad first impression though
other,tgif hubby drag buy car part tire n cranky
worry,go nice
happiness,sbarro dinner krispy kreme dessert mmmmm healthy
other,tvanderwell three computers go ie seven xp ie eight vista still show
sadness,ii12m jbobsessed xd miss soooooo much live web cast bookface every thursday xd
sadness,try install vodafone internet key eeepc remember work box today want work
other,put computer craigslist case monitor speakers five years
sadness,hard keep everything whole coldplaying twitter facebook talk real life impossible
worry,feel like crap suck
other,freckles08x plus go clash ugly betty channel four show season three next month well grrr
love,johnreppion awww let would better next 30th xd
sadness,sodakan sorry hear wait list
worry,sosososo sad see cory lamb hours love kid
other,kirkdunst cool hope feel better go breakfast buy go
love,danidropdead13 oi love
neutral,caitmccoy go wknd sorry take forever respond realize twitter txting ur update
neutral,back pub want peroni
worry,go movies get ground
worry,ashleymshep yeah girl betta twitter miss jealous jen limo ride
neutral,sweetepi agree
other,mvpubliclibrary tape hold slip items rip digipack cd case
worry,kaylalallama go beamer rest high school sad prn journal
worry,tessmorris consider nurse younger really think could cope baby die
neutral,homework borriing
happiness,feel like throw
other,goldensquad lol yeah unfollowed bkuz jokein bwt somethn n quess take serious
other,nelsoncrew hate seek approval anyone everyone
worry,msn crash way much hmph
neutral,summersunrays bryan reply wingnuts
worry,mitchelmusso send call back message x
other,boriqua206 hear guy
worry,back kinds mess strudel go live another town move go miss little runt
worry,new phone sync computer need number
sadness,back miami miss south beach
happiness,martinhavlat dang wish could go ticket sundays game
sadness,mitchelmusso would love talk live england unfair
neutral,friday night go quickly bottle go tomorrow come everton
worry,freakin hawt guy restaurant eat dinner father
worry,lmstellapr must night nightmare even still sick never go get well wout sleep
neutral,uhoooh throat scratchy
sadness,battery low boooooooo palm spring ca http looptus2sljbwt
sadness,hot texas ac upstairs break really hot house
worry,miss wbc counterprotests probably go waterfire ben yay
other,ahhh know really suck sprain toe ouch
worry,adamjackson better macbook keyboard yesterday spill whole cup hot chocolate
neutral,neenz go reply ppl hi weekend post realize top choice work
sadness,thursdayband even call belgium suck
sadness,miss husband
neutral,bear raise nyc live texas past ten years still miss ny
other,stevyncolgan confuse
other,illegal date
neutral,lilyroseallen get ticket gig glasgow gutted wait til november though
worry,graduation do little sad anyone want hang
other,hate thunder lightning
sadness,life bore without
other,musiclover_15 see yet come dvd hehe haha
worry,realize managingonlineforums review amzn may would love someone would share thoughts http isgdjolg
other,poor dead josh http bitlyjkphn please leave message condolences boy rip
other,musically headphones awesome stay ear good
neutral,mitchelmusso call work
worry,bad night work
worry,itsoneten scar mad jip world presence
other,hate rain people
sadness,x_crazyangel gah gregg get hot talented vote dammit
other,j ross leave killers still sing run title edit music happy
other,go eat entourage probably fat e since close tomorrow watch movie jimmy tonight text
sadness,bowwow614 would afraid get two leave feet
other,grooveybianca12 nah jkin hot bore
sadness,honeyfaery that_kat beg mum lt get attic let waaa yes spoil hehe
happiness,montiasutton wish could really love around ill see try use national champ pull lol
other,exhaust force attend lockin
worry,sleep without routine beforebed snack find come along fatfat tummy
other,test discovery miss py31
worry,aw tear ace hearts hunchback
love,love myfabolouslife love http bitlychlav tease baby end boooooo still love tho
other,loner haha suck
worry,kikirowr aw feel better soon bb
other,wish could teach dog play xbox alas thumb
neutral,heatwave06 cool never hear ny http mylocme21uf
other,great great cookoutofthecentury wife tummy hurt great
other,bike put hold know argh total bummer
worry,omg thunderrrr wish home love cuddle blanky storm
sadness,ughh fill tooth ear start ache life
sadness,nicholasxjonas disappoint
sadness,ahhhhhh software download get install file work
sadness,james__buckley good mate sadly could get piss tonight fuck drive bad time
neutral,oohpinklipstick yep amgot back morning nfg fab last night go tomorrow get ms ticket soon 4weeks away
worry,http twitpiccom67qv3 forever twenty-one ethan could
other,full food tonight want cake ice cream party
sadness,one bad days migraine today 1st since neck surgery two twelve months
happiness,need write really bad someone go get diary flat
other,watchin lose man ten days wiv mum lol
neutral,tbortnyk know feel
worry,poor kella meds ear infection lose food deannamichelle twice doc
worry,back kill wish pain would go away
neutral,hate different reference assemblies fnh go castle eleven caliburn one hundred and three mention dynamicproxy nh
other,yes email one window mark followup monday dang paper still tho
neutral,right arm burn sun
worry,think h1n1 maybe cold
sadness,really sad miss critical mass
other,tell mom watch say ok little know think ask look like free friday
other,passionmd could see quote vote
worry,jybeliever sore throat like hurt swallow runny nose constant sneeze
sadness,sky14kemea go go home make sad leave mall
neutral,andrewdearling miss miss rpt 2mrw oh well youtube sunday guess thank andrew
neutral,make imovie college
other,watch film recover operation
neutral,taracherish guess mean
sadness,smackdown lot bore without maria
other,darkkiller101 miss say damn lol
sadness,djgigidred fare lady body nap work
neutral,change plan stay brandon papaya salad
worry,tire miss dionee already
happiness,head see friends new baby give trip lake dance class good mama
other,want go back school monday
neutral,really hot today hairy gay
other,chillen gmas soooo humid outside
worry,jeweljk get load
other,thunder reallyreally loud work little boy start cry want cry hate storm wah
worry,back work tomorrow whose idea go back saturday oh wait would mine fail
worry,mollyissogyo make room bed much room make outta space sure lol know pathetic
neutral,anyone else problems follow unfollowing peep go week
worry,depress get eighty global test
sadness,sooooo miss chinese takeout
other,catrionat7 lol sed want ach dress reason pleaseeeeeeeeeeeeee bore lol
neutral,gentlesinner want ruin spontaneously first paper copy spontaneity onto book please
happiness,hahahahah wake nine today totally miss lecture quiz open lab useless chipotle w silvera jenny greeat 8d
neutral,youverse blaze 25mbps anything download though
other,finally get date bonfire tonight kind last option whatever none chicks want go never texted back
other,dmafiax thank alot stick work
other,dreamsanais_mja know gon yell cuss upgrade go
sadness,kanoaofgomega love go kanoa sorry loss dear
sadness,hear tonight last jleno show
sadness,hanaabanana know yopu get round watch cry
other,shutterbutter daveydollar way rub guy send everyone love wish could
